Évanescent(e);Qui disparaît peu à peu (Fugitif) "La beauté de ce moment était évanescente"
Protestantisme;Ensemble des doctrines et des églises chrétiennes issues de la Réforme du XVIe siècle, caractérisées par une lecture directe de la Bible (Réforme) "Le protestantisme met l'accent sur la relation individuelle avec Dieu et la lecture personnelle des Écritures."
Théologie;Étude des questions religieuses, des doctrines et de la divinité (Doctrine) "Elle a étudié la théologie pour mieux comprendre les fondements de sa foi."
Médiation;Intervention d'une tierce personne pour résoudre un conflit entre deux parties (Arbitrage) "La médiation a permis de trouver un accord entre les deux entreprises en conflit."
Condescendant(e);Qui montre une attitude de supériorité et de mépris bienveillant (Arrogant) "Son ton condescendant a irrité ses collègues."
Onctueux(se);Qui est doux au toucher, moelleux, et par extension, agréable et flatteur (Crémeux) "La sauce était onctueuse, ajoutant une richesse à chaque bouchée."
Crapule;Personne sans moralité, qui se livre à des actions malhonnêtes ou méprisables (Canaille) "Il était connu comme une crapule notoire dans le quartier."
Morosité;État d'abattement, de tristesse, de mélancolie (Mélancolie) "La morosité ambiante pesait sur l'humeur de tous les employés."
Opulence;Grande richesse, abondance de biens (Luxure) "L'opulence de leur demeure reflétait leur immense fortune."
Décret;Décision officielle émanant d'une autorité gouvernementale (Ordonnance) "Le nouveau décret modifie les règles de sécurité au travail."
Présupposé;Hypothèse ou principe admis à l'avance comme étant vrai, sur lequel repose un raisonnement (Postulat) "Son argumentation repose sur le présupposé que tous les individus agissent rationnellement."
Totalitaire;Qui exerce un contrôle absolu sur tous les aspects de la vie publique et privée (Dictatorial) "Le régime totalitaire imposait une surveillance constante et supprimait toute opposition."
Monisme;Doctrine philosophique qui soutient que la réalité est composée d'une seule substance ou principe fondamental (Unité) "Le monisme s'oppose au dualisme en affirmant que tout est constitué d'une seule essence."
Assaillir;Attaquer violemment ou de manière répétée (Attaquer) "Il a été assailli par des doutes avant de prendre sa décision."
Sens propre;Signification première et littérale d'un mot (Littéral) "Le mot 'clé' au sens propre désigne un objet pour ouvrir une serrure."
Sens figuré;Signification dérivée et imagée d'un mot (Métaphorique) "Au sens figuré, 'clé' peut signifier une solution ou un élément essentiel."
Oracle;Dans l'Antiquité, réponse ou prédiction donnée par une divinité ou par une personne investie d'une autorité prophétique (Prédiction) "L'oracle d'Apollon à Delphes était renommé pour ses prophéties."
Accommoder;Adapter quelque chose aux besoins ou aux circonstances (Adapter) "Il a dû accommoder son emploi du temps pour assister à la réunion."
Introspective;Qui concerne l'observation ou l'examen de ses propres pensées, sentiments et motivations (Auto-analytique) "Son approche introspective l'a aidée à mieux comprendre ses réactions émotionnelles."
Rétrospective;Qui concerne un examen ou une évaluation d'événements passés (Récapitulatif) "La réunion était une rétrospective des réussites et des défis de l'année écoulée."
Dompter;Soumettre à sa volonté, maîtriser un animal ou une situation difficile (Maîtriser) "Il a fallu du temps pour dompter le cheval sauvage."
Sentier;Chemin étroit tracé à travers la nature, souvent utilisé pour la randonnée (Chemin) "Le sentier serpentait à travers la forêt dense."
Diligence;Rapidité et efficacité dans l'exécution d'une tâche (Rapidité) "Il a terminé le projet avec diligence pour respecter les délais."
Indubitable;Qui ne peut être mis en doute, certain (Incontestable) "Les preuves présentées étaient indubitables et ont convaincu le jury."
Conformisme;Tendance à se conformer aux normes et comportements du groupe (Conformité) "Le conformisme social peut empêcher l'expression de l'originalité et de la créativité."
Polariser;Concentrer autour de deux pôles opposés, diviser (Diviser) "Le débat a polarisé l'opinion publique en deux camps distincts."
Relique;Objet ayant appartenu à un saint ou une personne vénérée, conservé comme objet de dévotion (Souvenir sacré) "La relique était exposée dans l'église pour que les fidèles puissent la v
Édifier;Construire quelque chose de durable, au sens propre ou figuré, instruire moralement (Construire) "Ses actions exemplaires ont édifié toute la communauté."
Lore;Ensemble de connaissances et traditions d'un peuple ou d'une culture (Savoir) "Le folklore rassemble le lore des coutumes et croyances anciennes."
Édifice;Bâtiment imposant et de grande taille (Structure) "L'édifice gothique dominait la place centrale de la ville."
Folklore;Ensemble des traditions et des expressions culturelles d'un peuple, incluant les contes, les chants et les danses (Traditions) "Le folklore local est riche en histoires et légendes transmises de génération en génération."
Abnégation;Sacrifice volontaire de soi-même, de son intérêt (Dévouement) "Son abnégation pour aider les autres était admirée de tous."
Orgueilleux(se);Qui manifeste un excès d'estime de soi, arrogance (Fier) "Il était trop orgueilleux pour admettre ses erreurs."
Effigie;Représentation ou image d'une personne, souvent utilisée sur les monnaies ou les statues (Portrait) "L'effigie du roi était gravée sur toutes les pièces de monnaie."
Endeuillé(e);Qui est dans le deuil, qui éprouve une grande tristesse suite à une perte (Attristé) "La famille endeuillée pleurait la perte de leur être cher."
Repentant(e);Qui exprime des remords pour ses actions passées, regret (Contrit) "Il s'est montré repentant et a demandé pardon pour ses erreurs."
Candide;Qui manifeste une grande ingénuité et une pureté d'âme (Naïf) "Avec son sourire candide, il croyait toujours à la bonté des gens."
Vigueur;Force et énergie dans l'exécution d'une tâche ou dans l'expression d'un sentiment (Vitalité) "Il a abordé son travail avec une vigueur renouvelée."
Opulence;Grande richesse, abondance de biens (Luxure) "L'opulence de leur demeure reflétait leur immense fortune."
Prosaïque;Qui manque de poésie, de noblesse, banal (Ordinaire) "Sa vie prosaïque ne laissait place à aucune aventure."
Fléau;Grande calamité publique, désastre (Calamité) "La peste fut un fléau dévastateur au Moyen Âge."
Ténacité;Persévérance et détermination dans la poursuite d'un but (Détermination) "Sa ténacité a fini par payer et il a obtenu le poste."
Fougue;Élan impétueux, vivacité ardente (Ardeur) "Sa fougue sur le terrain de sport était impressionnante."
Ardent(e);Qui brûle d'enthousiasme, de passion (Passionné) "Elle avait une passion ardente pour la musique."
Sarcastique;Qui emploie l'ironie pour se moquer ou critiquer de manière mordante (Moqueur) "Ses remarques sarcastiques ont blessé ses collègues."
Impassible;Qui ne laisse paraître aucune émotion (Calme) "Face à la provocation, il est resté impassible."
Antipathique;Qui inspire de l'aversion ou de la répulsion (Déplaisant) "Son attitude arrogante le rendait antipathique à ses collègues."
Maléfique;Qui exerce une influence malfaisante, nuisible (Néfaste) "Les rumeurs parlaient d'une force maléfique habitant la vieille maison."
Larcin;Petit vol commis furtivement (Vol) "Il a été pris sur le fait, coupable d'un larcin dans le magasin."
Orifice;Ouverture ou passage, naturel ou artificiel, permettant le passage d'un fluide ou d'un gaz (Ouverture) "L'orifice de ventilation permettait une meilleure circulation de l'air."
Frugal(e);Qui se nourrit de peu, simple et sobre (Sobriété) "Elle menait une vie frugale, évitant tout excès."
Recteur;Personne chargée de la direction d'une université ou d'une académie (Administrateur) "Le recteur de l'université a prononcé le discours d'ouverture."
Prêche;Discours religieux prononcé pour enseigner ou exhorter (Sermon) "Le prêche du dimanche portait sur l'importance de la charité."
Théologie;Étude des questions religieuses et de la divinité (Doctrine religieuse) "Elle a consacré sa vie à la théologie, explorant les mystères de la foi."
